week,platform,total_volume,total_transactions,unique_fa2_address,unique_buyers_wallets,unique_sellers_wallets,unique_artists_wallets
2021-03-01 08:00:00+00:00,HEN,13231.40792,1415,1,462,359,0
2021-03-08 08:00:00+00:00,HEN,24775.04816,3851,1,1193,997,0
2021-03-15 07:00:00+00:00,HEN,41597.52403,5844,1,1474,1318,0
2021-03-22 07:00:00+00:00,HEN,54901.48969,8800,1,2391,2171,0
2021-03-22 07:00:00+00:00,KALAMINT,19334.5911,303,1,108,82,0
2021-03-29 07:00:00+00:00,HEN,188173.5625,13841,1,3367,3133,0
2021-03-29 07:00:00+00:00,KALAMINT,1784.3525,212,1,79,81,0
2021-04-05 07:00:00+00:00,HEN,243020.646,15333,1,3861,3598,0
2021-04-05 07:00:00+00:00,KALAMINT,1758.6629,97,1,49,39,0
2021-04-12 07:00:00+00:00,HEN,108921.7093,17108,1,5021,4099,0
2021-04-12 07:00:00+00:00,KALAMINT,601.79,57,1,44,39,0
2021-04-19 07:00:00+00:00,HEN,94119.86414,26539,1,7167,6101,0
2021-04-19 07:00:00+00:00,KALAMINT,3112.0607,159,1,99,76,0
2021-04-26 07:00:00+00:00,HEN,126864.9977,40044,1,9450,7806,0
2021-04-26 07:00:00+00:00,KALAMINT,2255.2451,128,1,82,59,0
2021-05-03 07:00:00+00:00,HEN,103596.7201,38675,1,9969,7988,0
2021-05-03 07:00:00+00:00,KALAMINT,8979.32,115,1,65,65,0
2021-05-10 07:00:00+00:00,HEN,90798.53133,38463,1,10793,8838,0
2021-05-10 07:00:00+00:00,KALAMINT,4738.98,58,1,44,42,0
2021-05-17 07:00:00+00:00,HEN,138586.6752,43308,1,11567,10221,0
2021-05-17 07:00:00+00:00,KALAMINT,5716.8591,104,1,64,60,0
2021-05-24 07:00:00+00:00,HEN,214939.2487,59083,1,12473,11690,0
2021-05-24 07:00:00+00:00,KALAMINT,9280.928,104,1,69,59,0
2021-05-31 07:00:00+00:00,HEN,223028.0666,49483,1,12622,11165,0
2021-05-31 07:00:00+00:00,KALAMINT,11678.085,87,1,71,61,0
2021-06-07 07:00:00+00:00,HEN,218476.6393,92110,1,15711,12889,0
2021-06-07 07:00:00+00:00,KALAMINT,7886.497,117,1,63,66,0
2021-06-14 07:00:00+00:00,HEN,248361.5052,92827,1,16138,12346,0
2021-06-14 07:00:00+00:00,KALAMINT,1169.302,36,1,28,29,0
2021-06-21 07:00:00+00:00,HEN,174885.1665,40130,1,10831,9584,0
2021-06-21 07:00:00+00:00,KALAMINT,23690.023,137,1,76,79,0
2021-06-28 07:00:00+00:00,HEN,23151.258,3462,1,1627,1261,654
2021-06-28 07:00:00+00:00,KALAMINT,8335.761,565,1,242,211,0
2021-07-05 07:00:00+00:00,HEN,100431.2325,19960,1,6295,4644,4266
2021-07-05 07:00:00+00:00,KALAMINT,4659.9579,262,1,160,159,0
2021-07-12 07:00:00+00:00,HEN,130149.0815,32175,1,8272,6271,5787
2021-07-12 07:00:00+00:00,KALAMINT,4764.826,196,1,135,108,0
2021-07-19 07:00:00+00:00,HEN,130148.6277,30109,1,8160,6776,6283
2021-07-19 07:00:00+00:00,KALAMINT,4793.505,152,1,100,100,0
2021-07-26 07:00:00+00:00,HEN,144350.1745,29512,1,8292,6827,6205
2021-07-26 07:00:00+00:00,KALAMINT,6655.3389,312,1,163,142,2
2021-08-02 07:00:00+00:00,HEN,173205.2684,31588,1,8272,6880,6169
2021-08-02 07:00:00+00:00,KALAMINT,8353.648,211,1,131,130,1
2021-08-09 07:00:00+00:00,HEN,339072.4197,56090,1,10971,9254,8171
2021-08-09 07:00:00+00:00,KALAMINT,15185.321,513,1,236,226,0
2021-08-16 07:00:00+00:00,HEN,544091.2159,60967,1,11921,11083,9195
2021-08-16 07:00:00+00:00,KALAMINT,9497.895,448,1,229,233,1
2021-08-23 07:00:00+00:00,HEN,1194747.91,100449,1,15748,14872,11817
2021-08-23 07:00:00+00:00,KALAMINT,21715.4412,1371,1,462,370,0
2021-08-30 07:00:00+00:00,HEN,894654.4167,113588,1,20780,17242,14406
2021-08-30 07:00:00+00:00,KALAMINT,19568.50743,1417,1,514,457,6
2021-09-06 07:00:00+00:00,HEN,649074.0986,260859,1,27642,19780,17028
2021-09-06 07:00:00+00:00,KALAMINT,11390.827,962,1,435,363,19
2021-09-13 07:00:00+00:00,HEN,734744.7303,159521,1,27779,22635,19006
2021-09-13 07:00:00+00:00,KALAMINT,18273.763,1607,1,602,474,21
2021-09-20 07:00:00+00:00,HEN,510341.8034,92223,1,22220,18708,15749
2021-09-20 07:00:00+00:00,KALAMINT,9365.945662,956,1,474,408,17
2021-09-27 07:00:00+00:00,HEN,556418.4901,84226,1,22474,18009,14925
2021-09-27 07:00:00+00:00,KALAMINT,10224.889,901,1,468,421,17
2021-10-04 07:00:00+00:00,HEN,457567.5157,74524,1,20680,16831,13657
2021-10-04 07:00:00+00:00,KALAMINT,7014.68,975,1,450,400,21
2021-10-11 07:00:00+00:00,HEN,428757.3944,79791,1,22077,17507,14397
2021-10-11 07:00:00+00:00,KALAMINT,8321.8819,821,1,392,359,9
2021-10-18 07:00:00+00:00,HEN,339154.2224,77545,1,21916,16800,13853
2021-10-18 07:00:00+00:00,KALAMINT,4220.1436,598,1,316,307,12
2021-10-25 07:00:00+00:00,HEN,347295.3866,86484,1,23188,17708,14638
2021-10-25 07:00:00+00:00,KALAMINT,3523.067,601,1,242,310,15
2021-11-01 07:00:00+00:00,FXHASH,0.4,4,1,4,1,1
2021-11-01 07:00:00+00:00,HEN,280549.2378,125430,1,28139,20744,17726
2021-11-01 07:00:00+00:00,KALAMINT,9533.50065,1077,1,339,315,9
2021-11-08 08:00:00+00:00,FXHASH,13537.49309,11806,1,1373,225,133
2021-11-08 08:00:00+00:00,HEN,259412.4096,83612,1,22333,17770,14616
2021-11-08 08:00:00+00:00,KALAMINT,6287.486,768,1,325,369,19
2021-11-08 08:00:00+00:00,OBJKT,17520.50123,3500,446,2540,744,677
2021-11-15 08:00:00+00:00,FXHASH,96283.84365,33997,1,4491,1821,1004
2021-11-15 08:00:00+00:00,HEN,218758.2771,57758,1,16339,14894,12369
2021-11-15 08:00:00+00:00,KALAMINT,5345.3872,747,1,364,385,20
2021-11-15 08:00:00+00:00,OBJKT,66954.37485,10512,830,6602,2174,1791
2021-11-22 08:00:00+00:00,FXHASH,127167.2078,34408,1,6176,2688,1692
2021-11-22 08:00:00+00:00,HEN,217223.1281,57508,1,15775,14228,11878
2021-11-22 08:00:00+00:00,KALAMINT,4442.3486,601,1,307,271,22
2021-11-22 08:00:00+00:00,OBJKT,55408.17832,9603,936,6596,2600,2028
2021-11-29 08:00:00+00:00,FXHASH,165253.1021,41813,1,5724,3450,1890
2021-11-29 08:00:00+00:00,HEN,178425.604,49835,1,14908,13501,11223
2021-11-29 08:00:00+00:00,KALAMINT,4155.034,489,1,242,246,12
2021-11-29 08:00:00+00:00,OBJKT,58011.64479,9308,1015,6384,2645,2110
2021-12-06 08:00:00+00:00,FXHASH,332253.8006,43511,1,7346,4428,2104
2021-12-06 08:00:00+00:00,HEN,197361.9712,50743,1,15369,13535,11335
2021-12-06 08:00:00+00:00,KALAMINT,7605.6265,780,1,338,363,12
2021-12-06 08:00:00+00:00,OBJKT,68986.36009,10143,1140,6850,2815,2283
2021-12-13 08:00:00+00:00,FXHASH,705673.2301,57960,1,8771,5920,2336
2021-12-13 08:00:00+00:00,HEN,212986.9125,50367,1,15774,13311,11058
2021-12-13 08:00:00+00:00,KALAMINT,4422.56099,496,1,254,214,6
2021-12-13 08:00:00+00:00,OBJKT,92884.83658,9211,1158,6560,2871,2346
2021-12-13 08:00:00+00:00,RARIBLE,590.575884,82,1,64,48,47
2021-12-20 08:00:00+00:00,FXHASH,383952.1144,55276,1,10237,6007,2569
2021-12-20 08:00:00+00:00,HEN,229071.811,62441,1,17250,13804,11194
2021-12-20 08:00:00+00:00,KALAMINT,6482.868,551,1,255,297,13
2021-12-20 08:00:00+00:00,OBJKT,74497.08854,9511,1215,6607,2952,2421
2021-12-20 08:00:00+00:00,RARIBLE,789.19969,160,1,128,89,87
2021-12-27 08:00:00+00:00,FXHASH,317065.1606,28373,1,6038,5215,2074
2021-12-27 08:00:00+00:00,HEN,227226.4513,64237,1,16733,14821,11941
2021-12-27 08:00:00+00:00,KALAMINT,3316.54745,376,1,198,198,14
2021-12-27 08:00:00+00:00,OBJKT,69456.91208,12067,1281,8080,3344,2659
2021-12-27 08:00:00+00:00,RARIBLE,2827.795518,240,1,187,131,124
2022-01-03 08:00:00+00:00,FXHASH,290104.4512,58082,1,11366,6280,2615
2022-01-03 08:00:00+00:00,HEN,215080.0952,58933,1,15782,14126,11385
2022-01-03 08:00:00+00:00,KALAMINT,10580.225,1073,1,331,268,17
2022-01-03 08:00:00+00:00,OBJKT,112222.9251,13661,1465,9439,3940,3119
2022-01-03 08:00:00+00:00,RARIBLE,3880.0509,218,1,172,116,112
2022-01-10 08:00:00+00:00,FXHASH,265009.3279,41747,1,10805,5684,2620
2022-01-10 08:00:00+00:00,HEN,159089.8722,45130,1,14213,12766,10431
2022-01-10 08:00:00+00:00,KALAMINT,6062.28,575,1,285,219,26
2022-01-10 08:00:00+00:00,OBJKT,119408.6793,15490,1582,10435,4188,3307
2022-01-10 08:00:00+00:00,RARIBLE,486.4504,207,1,146,120,104
2022-01-10 08:00:00+00:00,VERSUM,55727.076,6999,1,2762,1030,0
2022-01-17 08:00:00+00:00,FXHASH,183097.8745,24795,1,7279,4472,2273
2022-01-17 08:00:00+00:00,HEN,220271.4941,42662,1,13691,12315,9881
2022-01-17 08:00:00+00:00,KALAMINT,4591.6281,467,1,253,213,20
2022-01-17 08:00:00+00:00,OBJKT,122480.9471,13128,1642,9131,4157,3319
2022-01-17 08:00:00+00:00,RARIBLE,481.755922,146,1,104,93,86
2022-01-17 08:00:00+00:00,VERSUM,30508.6022,9117,1,4469,2169,0
2022-01-24 08:00:00+00:00,FXHASH,240347.7318,27740,1,8133,5482,2517
2022-01-24 08:00:00+00:00,HEN,213871.0549,53095,1,14679,13603,10667
2022-01-24 08:00:00+00:00,KALAMINT,5534.442,442,1,227,165,13
2022-01-24 08:00:00+00:00,OBJKT,144636.5247,14329,1819,10063,4777,3752
2022-01-24 08:00:00+00:00,RARIBLE,497.81,147,1,117,99,92
2022-01-24 08:00:00+00:00,VERSUM,32279.666,7358,1,3725,2004,0
2022-01-31 08:00:00+00:00,FXHASH,207308.0984,26755,1,8415,4369,2325
2022-01-31 08:00:00+00:00,HEN,178189.0858,51417,1,14848,12812,10411
2022-01-31 08:00:00+00:00,KALAMINT,3352.666,399,1,208,178,14
2022-01-31 08:00:00+00:00,OBJKT,112554.8752,16652,1801,10108,6678,3645
2022-01-31 08:00:00+00:00,RARIBLE,406.314,105,1,80,71,70
2022-01-31 08:00:00+00:00,VERSUM,40175.48,7088,1,3853,2039,0
2022-02-07 08:00:00+00:00,FXHASH,205651.4426,24349,1,7898,4171,2119
2022-02-07 08:00:00+00:00,HEN,120823.8351,43047,1,13769,11089,8986
2022-02-07 08:00:00+00:00,KALAMINT,2676.9,234,1,144,128,6
2022-02-07 08:00:00+00:00,OBJKT,116744.1902,16981,1765,9926,7183,2685
2022-02-07 08:00:00+00:00,RARIBLE,309.367,88,1,63,61,55
2022-02-07 08:00:00+00:00,VERSUM,26792.71427,4849,1,2742,1657,0
2022-02-14 08:00:00+00:00,8BIDOU,16.81,20,1,7,4,4
2022-02-14 08:00:00+00:00,FXHASH,100485.2503,15097,1,5144,3492,1996
2022-02-14 08:00:00+00:00,HEN,109671.2698,40198,1,12792,9961,7478
2022-02-14 08:00:00+00:00,KALAMINT,3178.18,249,1,147,137,3
2022-02-14 08:00:00+00:00,OBJKT,99443.95471,13141,1582,8447,5210,970
2022-02-14 08:00:00+00:00,RARIBLE,775.469,39,1,30,26,25
2022-02-14 08:00:00+00:00,VERSUM,13624.54389,3471,1,2048,1388,0
2022-02-21 08:00:00+00:00,8BIDOU,87.018,125,1,57,56,56
2022-02-21 08:00:00+00:00,FXHASH,111774.3149,13801,1,4929,2971,1641
2022-02-21 08:00:00+00:00,HEN,121936.0841,32109,1,10748,9456,6989
2022-02-21 08:00:00+00:00,KALAMINT,2639.54,226,1,119,119,4
2022-02-21 08:00:00+00:00,OBJKT,100270.0505,12221,1672,8567,4606,814
2022-02-21 08:00:00+00:00,RARIBLE,1414.79,96,1,68,52,19
2022-02-21 08:00:00+00:00,VERSUM,18038.4885,5818,1,2760,1176,0
2022-02-28 08:00:00+00:00,8BIDOU,33.2,29,1,21,24,24
2022-02-28 08:00:00+00:00,FXHASH,113669.1741,16227,1,4859,3010,1611
2022-02-28 08:00:00+00:00,HEN,92706.42062,30695,1,9956,8704,6404
2022-02-28 08:00:00+00:00,KALAMINT,2784.962,213,1,116,98,4
