Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1.648800,1.754183,1.626188,1.652700,1.652700,146038694
2021-01-02,1.653018,1.694380,1.608365,1.647049,1.647049,192031066
2021-01-03,1.647481,1.833302,1.612025,1.741473,1.741473,254784883
2021-01-04,1.742926,1.919640,1.667255,1.886313,1.886313,307105466
2021-01-05,1.887547,1.999235,1.752539,1.934734,1.934734,301329861
2021-01-06,1.935321,2.213698,1.875321,2.120981,2.120981,373102702
2021-01-07,2.127433,2.252362,1.975197,2.065107,2.065107,370895378
2021-01-08,2.063091,2.095045,1.848795,2.012110,2.012110,340051321
2021-01-09,2.011766,2.200313,1.981262,2.160241,2.160241,294005566
2021-01-10,2.161021,2.411743,1.991913,2.273900,2.273900,492790991
2021-01-11,2.274145,2.274145,1.734953,1.919870,1.919870,450546813
2021-01-12,1.916844,2.017362,1.814625,1.873403,1.873403,293908091
2021-01-13,1.874190,2.051898,1.838492,2.051898,2.051898,248398272
2021-01-14,2.052289,2.148399,1.983173,2.090530,2.090530,272629908
2021-01-15,2.093819,2.368438,2.062155,2.260372,2.260372,516692706
2021-01-16,2.254985,2.621691,2.247721,2.385510,2.385510,624234696
2021-01-17,2.379344,2.564765,2.243589,2.457472,2.457472,414624381
2021-01-18,2.458790,2.560177,2.368110,2.508942,2.508942,344703759
2021-01-19,2.508538,2.637609,2.378296,2.381620,2.381620,375748420
2021-01-20,2.377673,2.427989,2.193920,2.400813,2.400813,343811171
2021-01-21,2.401212,2.410207,2.009804,2.026345,2.026345,324032627
2021-01-22,2.025000,2.549931,1.899062,2.403916,2.403916,620312440
2021-01-23,2.398974,2.781391,2.347050,2.604380,2.604380,790489919
2021-01-24,2.602881,2.698702,2.402189,2.501843,2.501843,463720036
2021-01-25,2.501279,2.612222,2.396877,2.409517,2.409517,335764427
2021-01-26,2.408406,2.479301,2.274520,2.391222,2.391222,299778250
2021-01-27,2.390066,2.411789,2.185058,2.317144,2.317144,342738728
2021-01-28,2.316676,2.527603,2.257386,2.500115,2.500115,413470670
2021-01-29,2.441141,2.504166,2.329195,2.393333,2.393333,388874807
2021-01-30,2.393611,2.473375,2.319318,2.380148,2.380148,309743045
2021-01-31,2.381343,2.422411,2.258122,2.341633,2.341633,275424833
2021-02-01,2.342448,2.422170,2.279643,2.411484,2.411484,286175610
2021-02-02,2.412841,2.446257,2.344350,2.416084,2.416084,255985243
2021-02-03,2.415523,2.611809,2.398462,2.525395,2.525395,389222888
2021-02-04,2.525711,2.613120,2.396299,2.473684,2.473684,407818841
2021-02-05,2.474198,2.902742,2.471459,2.852729,2.852729,539173948
2021-02-06,2.856451,2.897720,2.576839,2.631266,2.631266,438505156
2021-02-07,2.631417,2.863387,2.554656,2.745385,2.745385,539466965
2021-02-08,2.745205,2.845619,2.694442,2.821258,2.821258,451640480
2021-02-09,2.821464,3.182141,2.657751,3.099173,3.099173,771181122
2021-02-10,3.099149,3.195916,2.861183,3.157535,3.157535,692677880
2021-02-11,3.158619,3.543808,3.148121,3.389078,3.389078,748557075
2021-02-12,3.386171,4.437911,3.331149,4.136828,4.136828,1204451261
2021-02-13,4.136076,4.399677,3.822298,4.397351,4.397351,1151968732
2021-02-14,4.397008,4.600730,3.906559,4.049644,4.049644,968956981
2021-02-15,4.037629,4.092647,3.246525,3.740784,3.740784,979187898
2021-02-16,3.738245,4.005838,3.583504,3.746511,3.746511,623301086
2021-02-17,3.745412,3.948116,3.473817,3.825303,3.825303,580702097
2021-02-18,3.825090,4.125959,3.750027,4.018914,4.018914,514938989
2021-02-19,4.020322,4.200805,3.809239,4.103069,4.103069,523749195
2021-02-20,4.102310,4.245164,3.621441,3.841635,3.841635,598490628
2021-02-21,3.838015,3.966689,3.744646,3.854406,3.854406,412310905
2021-02-22,3.856379,3.859755,3.020424,3.519015,3.519015,662535718
2021-02-23,3.518403,3.524287,2.444682,2.893935,2.893935,711159053
2021-02-24,2.902114,3.204102,2.774266,2.904501,2.904501,481303913
2021-02-25,2.903468,3.138187,2.742092,2.742092,2.742092,497304877
2021-02-26,2.750627,3.136094,2.619450,2.868567,2.868567,495981593
2021-02-27,2.870320,3.186543,2.870320,3.013068,3.013068,422428459
2021-02-28,3.013237,3.037849,2.662477,2.823093,2.823093,388428814
2021-03-01,2.824169,3.049782,2.819064,3.016119,3.016119,314606874
2021-03-02,3.014688,3.154823,2.901072,3.048852,3.048852,382448606
2021-03-03,3.049659,3.311146,3.041983,3.202285,3.202285,437519467
2021-03-04,3.200112,3.291330,2.983536,3.065370,3.065370,425226233
2021-03-05,3.064948,3.237594,2.893919,3.171634,3.171634,370376475
2021-03-06,3.169238,3.353463,3.126140,3.252823,3.252823,305246013
2021-03-07,3.254028,3.525991,3.212794,3.510754,3.510754,362094349
2021-03-08,3.510858,3.765077,3.418215,3.705811,3.705811,568401907
2021-03-09,3.706594,3.849358,3.661838,3.754703,3.754703,409220838
2021-03-10,3.751937,3.761993,3.424030,3.494503,3.494503,394129405
2021-03-11,3.491110,3.493939,3.316079,3.439284,3.439284,289083395
2021-03-12,3.439807,3.460970,3.207149,3.332454,3.332454,344156897
2021-03-13,3.331843,3.541056,3.189545,3.489721,3.489721,317853689
2021-03-14,3.489281,3.505193,3.313776,3.324796,3.324796,256522584
2021-03-15,3.321920,3.389699,3.150310,3.215626,3.215626,326269800
2021-03-16,3.215524,3.394419,3.100300,3.385246,3.385246,326557296
2021-03-17,3.387631,3.716143,3.243863,3.672962,3.672962,482845863
2021-03-18,3.672309,3.837461,3.530900,3.597541,3.597541,408336390
2021-03-19,3.594420,3.660843,3.481135,3.558843,3.558843,255203992
2021-03-20,3.558261,3.868297,3.542077,3.660156,3.660156,339177576
2021-03-21,3.663822,3.714521,3.411189,3.518700,3.518700,279386385
2021-03-22,3.520138,3.701037,3.413795,3.430374,3.430374,354347098
2021-03-23,3.430231,3.585800,3.336595,3.506706,3.506706,323730802
2021-03-24,3.507542,3.841897,3.362213,3.417828,3.417828,509053222
2021-03-25,3.415464,3.464940,3.232581,3.350372,3.350372,375641786
2021-03-26,3.350168,3.583602,3.346869,3.574048,3.574048,246331011
2021-03-27,3.573337,3.590785,3.441363,3.500981,3.500981,194551876
2021-03-28,3.500889,3.674078,3.473755,3.608375,3.608375,240932612
2021-03-29,3.609523,3.933109,3.575261,3.900035,3.900035,359120341
2021-03-30,3.909375,4.087281,3.912933,3.918705,3.918705,356685772
2021-03-31,3.918371,4.185834,3.686717,4.141517,4.141517,413469874
2021-04-01,4.140672,4.571889,4.090271,4.381898,4.381898,715981731
2021-04-02,4.384674,4.605011,4.257584,4.566121,4.566121,442328857
2021-04-03,4.567613,4.662172,4.123343,4.127169,4.127169,392549922
2021-04-04,4.124345,4.481248,4.084908,4.420575,4.420575,268739564
2021-04-05,4.423835,5.466126,4.350002,5.112111,5.112111,1094939037
2021-04-06,5.174791,5.768920,4.980020,5.226279,5.226279,1142547051
2021-04-07,5.216215,5.463520,4.546185,4.657120,4.657120,778224900
2021-04-08,4.662793,5.194155,4.624476,5.160777,5.160777,477055084
2021-04-09,5.161727,5.784054,5.065093,5.666982,5.666982,725418581
2021-04-10,5.746989,6.053226,5.250775,5.510153,5.510153,721116728
2021-04-11,5.515984,5.618118,5.304558,5.439179,5.439179,404793226
2021-04-12,5.432914,5.475306,5.138091,5.275780,5.275780,399957154
2021-04-13,5.275807,5.587011,5.140540,5.474229,5.474229,458457473
2021-04-14,5.477049,5.778131,5.176619,5.494756,5.494756,559924539
2021-04-15,5.492843,5.778113,5.345268,5.690403,5.690403,510299121
2021-04-16,5.679787,6.254804,5.486060,6.037232,6.037232,959858959
2021-04-17,6.022278,6.404134,5.858873,5.957152,5.957152,525689818
2021-04-18,5.953246,6.044724,4.436111,5.151512,5.151512,821620577
2021-04-19,5.164157,5.367567,4.431293,4.537377,4.537377,514497955
