Date,Open,High,Low,Close,Adj Close,Volume
2018-05-27,3.780352,4.039391,3.674335,3.713775,3.713775,759970
2018-05-28,3.723101,3.793957,3.610403,3.631469,3.631469,631565
2018-05-29,3.631710,4.210212,3.597359,4.210212,4.210212,647302
2018-05-30,4.178892,4.586168,4.039212,4.396630,4.396630,682313
2018-05-31,4.239221,4.539593,4.105303,4.131346,4.131346,684020
2018-06-01,4.134562,4.452166,4.096825,4.429082,4.429082,826942
2018-06-02,4.426338,5.123722,4.422659,4.959623,4.959623,1090617
2018-06-03,4.946930,4.976818,4.289863,4.334948,4.334948,1081279
2018-06-04,4.361298,4.551288,4.145215,4.215139,4.215139,1149667
2018-06-05,4.219653,4.537114,4.166812,4.537114,4.537114,1336577
2018-06-06,4.536688,4.538840,4.077678,4.168206,4.168206,1277596
2018-06-07,4.178190,4.282994,4.176417,4.238037,4.238037,1040616
2018-06-08,4.242626,4.309077,4.171391,4.260734,4.260734,1044433
2018-06-09,4.262655,4.439878,4.174962,4.198887,4.198887,1076169
2018-06-10,4.201624,4.201624,3.810264,4.074022,4.074022,1145837
2018-06-11,4.068667,4.069703,3.462207,3.778863,3.778863,1062212
2018-06-12,3.777096,3.857956,3.625320,3.688287,3.688287,1049230
2018-06-13,3.683272,3.682645,3.168627,3.298966,3.298966,923369
2018-06-14,3.295331,3.628486,3.271448,3.591714,3.591714,1034838
2018-06-15,3.591316,3.591829,3.316309,3.341604,3.341604,1138468
2018-06-16,3.342440,3.531912,3.284354,3.497829,3.497829,753183
2018-06-17,3.501068,3.644344,3.391471,3.467768,3.467768,687652
2018-06-18,3.462643,3.606053,3.343647,3.594522,3.594522,757308
2018-06-19,3.581864,3.756858,3.527169,3.641348,3.641348,959532
2018-06-20,3.626340,3.688485,3.537167,3.687855,3.687855,932452
2018-06-21,3.676203,3.861769,3.470322,3.599474,3.599474,957158
2018-06-22,3.597121,3.602015,3.248030,3.356251,3.356251,1025165
2018-06-23,3.363578,3.402651,3.119039,3.244848,3.244848,888314
2018-06-24,3.264736,3.279274,2.654070,2.808757,2.808757,1061232
2018-06-25,2.809160,3.296339,2.668150,3.180836,3.180836,799839
2018-06-26,3.184161,3.187957,2.891223,3.004997,3.004997,876408
2018-06-27,2.997218,3.114466,2.817869,3.097561,3.097561,984882
2018-06-28,3.089431,3.281105,3.064966,3.083101,3.083101,1033235
2018-06-29,3.081259,3.475417,3.005322,3.475417,3.475417,830908
2018-06-30,3.462287,3.929094,3.388565,3.790328,3.790328,1193349
2018-07-01,3.780741,3.817881,3.270470,3.380861,3.380861,963453
2018-07-02,3.383139,3.598458,2.231640,2.500739,2.500739,2643900
2018-07-03,2.695679,2.799321,1.655908,1.719513,1.719513,13689682
2018-07-04,1.727627,1.811985,1.606203,1.607694,1.607694,5763622
2018-07-05,1.612283,1.685779,1.195938,1.216123,1.216123,8758789
2018-07-06,1.219254,1.556758,0.940808,1.524964,1.524964,11174032
2018-07-07,1.504087,1.607578,1.415930,1.579072,1.579072,4751758
2018-07-08,1.582869,2.149723,1.572984,1.977738,1.977738,10301251
2018-07-09,1.974394,1.990471,1.744990,1.921904,1.921904,5880104
2018-07-10,1.919564,2.030784,1.832413,1.899949,1.899949,6479338
2018-07-11,1.905432,1.979945,1.753111,1.800797,1.800797,5879698
2018-07-12,1.796188,1.919294,1.599023,1.625536,1.625536,4383862
2018-07-13,1.630458,1.778356,1.626790,1.682918,1.682918,4014668
2018-07-14,1.694001,1.711887,1.645058,1.685374,1.685374,2872717
2018-07-15,1.694027,1.910860,1.656722,1.868111,1.868111,3445530
2018-07-16,1.872127,1.985394,1.849026,1.949287,1.949287,3859110
2018-07-17,1.964312,2.093393,1.913461,2.092336,2.092336,4122425
2018-07-18,2.086380,2.152669,1.951091,2.002637,2.002637,3582127
2018-07-19,1.999906,2.026413,1.929430,1.947752,1.947752,3399459
2018-07-20,1.948387,1.951467,1.724518,1.748746,1.748746,2991048
2018-07-21,1.751468,1.877837,1.710360,1.876122,1.876122,2035902
2018-07-22,1.879160,1.928742,1.825077,1.842414,1.842414,1647253
2018-07-23,1.836383,1.940009,1.811657,1.918577,1.918577,2348281
2018-07-24,1.919945,1.955800,1.809630,1.842729,1.842729,3447813
2018-07-25,1.823821,1.856206,1.701890,1.805112,1.805112,3776987
2018-07-26,1.792894,1.896900,1.726052,1.754663,1.754663,2345611
2018-07-27,1.755393,1.824176,1.743983,1.796268,1.796268,1489267
2018-07-28,1.797401,1.819226,1.743763,1.770033,1.770033,1667956
2018-07-29,1.772666,1.808801,1.745444,1.773291,1.773291,1668025
2018-07-30,1.773617,1.793625,1.684418,1.779776,1.779776,2907673
2018-07-31,1.776077,1.775318,1.532695,1.615265,1.615265,3015778
2018-08-01,1.621135,1.688576,1.472508,1.556474,1.556474,2539376
2018-08-02,1.557923,1.699451,1.415824,1.431394,1.431394,2865127
2018-08-03,1.425162,1.662647,1.338672,1.579364,1.579364,3452001
2018-08-04,1.585372,1.655079,1.512881,1.613374,1.613374,2393992
2018-08-05,1.607106,1.667252,1.590015,1.600701,1.600701,1908772
2018-08-06,1.602803,1.653890,1.514237,1.543035,1.543035,2119415
2018-08-07,1.542127,1.640656,1.456522,1.458142,1.458142,2579071
2018-08-08,1.458874,1.475246,1.296574,1.324959,1.324959,2491195
2018-08-09,1.334014,1.452203,1.331639,1.448421,1.448421,1596095
2018-08-10,1.446815,1.446941,1.284040,1.341245,1.341245,2384400
2018-08-11,1.341236,1.377625,1.227344,1.335022,1.335022,2206170
